Date,Surface,Best of,player_name,opponent_name,player_rank,player_elo,opponent_rank,opponent_elo,ewma_form,ewma_serve,ewma_return,ewma_surface,days_rest,result,total_games
2015-01-04,Hard,3,Millman J.,Williams R.,153.0,1500.0,220.0,1500.0,0.5,0.6,0.6,0.5,10.0,1,16.0
2015-01-04,Hard,3,Hewitt L.,Groth S.,84.0,1500.0,85.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,17.0
2015-01-04,Hard,3,Anderson K.,Kubot L.,16.0,1500.0,177.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,23.0
2015-01-04,Hard,3,Berlocq C.,Dolgopolov A.,71.0,1500.0,23.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,17.0
2015-01-04,Hard,3,Benneteau J.,Kokkinakis T.,25.0,1500.0,149.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,19.0
2015-01-04,Hard,3,Kudla D.,Nieminen J.,123.0,1500.0,73.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,27.0
2015-01-04,Hard,3,Matosevic M.,Johnson S.,77.0,1500.0,37.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,33.0
2015-01-04,Hard,3,Querrey S.,Tomic B.,35.0,1500.0,53.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,25.0
2015-01-04,Hard,3,Nieminen J.,Duckworth J.,73.0,1516.0,125.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,32.0
2015-01-04,Hard,3,Millman J.,Federer R.,153.0,1516.0,2.0,1500.0,1.0,0.75,0.5,1.0,0.0,0,29.0
2015-01-04,Hard,3,Simon G.,Duckworth J.,21.0,1500.0,125.0,1516.736306793522,0.5,0.6,0.6,0.5,10.0,0,16.0
2015-01-04,Hard,3,Chardy J.,Dimitrov G.,31.0,1516.0,11.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,32.0
2015-01-04,Hard,3,Copil M.,Kukushkin M.,201.0,1500.0,69.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,30.0
2015-01-04,Hard,3,Johnson S.,Nishikori K.,37.0,1516.0,5.0,1500.0,0.5,0.6,0.6,0.5,10.0,0,22.0
2015-01-04,Hard,3,Dimitrov G.,Federer R.,11.0,1516.736306793522,2.0,1516.736306793522,0.5,0.6,0.6,0.5,10.0,0,16.0
2015-01-04,Hard,3,Tomic B.,Nishikori K.,53.0,1516.0,5.0,1499.9661669788793,0.5,0.6,0.6,0.5,10.0,0,16.0
2015-01-04,Hard,3,Groth S.,Raonic M.,85.0,1516.0,8.0,1516.7701398146428,0.5,0.6,0.6,0.5,10.0,0,35.0
2015-01-04,Hard,3,Klizan M.,Dimitrov G.,34.0,1516.0,11.0,1500.736306793522,0.5,0.6,0.6,0.5,10.0,0,19.0
2015-01-04,Hard,3,Raonic M.,Federer R.,8.0,1532.734673623596,2.0,1532.736306793522,0.5,0.6,0.6,0.5,10.0,0,33.0
2015-01-04,Hard,3,Kokkinakis T.,Tomic B.,149.0,1516.0,53.0,1499.26213844487,0.5,0.6,0.6,0.5,10.0,0,20.0
2015-01-04,Hard,3,Kukushkin M.,Raonic M.,69.0,1516.0,8.0,1516.7347488338505,0.5,0.6,0.6,0.5,10.0,0,19.0
2015-01-04,Hard,3,Kubot L.,Groth S.,177.0,1516.0,85.0,1500.0354661910467,0.5,0.6,0.6,0.5,10.0,0,36.0
2015-01-04,Hard,3,Dolgopolov A.,Klizan M.,23.0,1516.0,34.0,1499.2975328274754,0.5,0.6,0.6,0.5,10.0,0,33.0
2015-01-04,Hard,3,Duckworth J.,Federer R.,125.0,1531.9661669788793,2.0,1548.7362315832677,0.5,0.6,0.6,0.5,10.0,0,13.0
