Date,Surface,Player_1,Player_2,Rank_1,Rank_2,Score,Best of,P1_Ace,P1_DF,P1_SvPt,P1_1stIn,P1_1stWon,P1_2ndWon,P1_BpSaved,P1_BpFaced,P2_Ace,P2_DF,P2_SvPt,P2_1stIn,P2_1stWon,P2_2ndWon,P2_BpSaved,P2_BpFaced
2015-01-04,Hard,Millman J.,Williams R.,153.0,220.0,6-3 6-1,3,6.0,2.0,44.0,24.0,19.0,14.0,1.0,1.0,3.0,4.0,50.0,31.0,20.0,5.0,1.0,5.0
2015-01-04,Hard,Federer R.,Raonic M.,2.0,8.0,6-4 6-7(2) 6-4,3,21.0,0.0,100.0,64.0,51.0,19.0,5.0,6.0,14.0,4.0,108.0,58.0,44.0,27.0,4.0,7.0
2015-01-04,Hard,Raonic M.,Nishikori K.,8.0,5.0,6-7(4) 7-6(4) 7-6(4),3,34.0,3.0,122.0,84.0,72.0,22.0,3.0,3.0,6.0,3.0,116.0,82.0,69.0,21.0,3.0,3.0
2015-01-04,Hard,Federer R.,Dimitrov G.,2.0,11.0,6-2 6-2,3,1.0,1.0,48.0,33.0,27.0,9.0,4.0,4.0,4.0,1.0,48.0,30.0,19.0,6.0,3.0,7.0
2015-01-04,Hard,Nishikori K.,Tomic B.,5.0,53.0,6-0 6-4,3,5.0,1.0,38.0,26.0,24.0,8.0,0.0,0.0,10.0,2.0,68.0,41.0,26.0,10.0,12.0,16.0
2015-01-04,Hard,Raonic M.,Groth S.,8.0,85.0,7-6(5) 3-6 7-6(2),3,15.0,2.0,96.0,65.0,53.0,19.0,4.0,5.0,22.0,1.0,98.0,74.0,58.0,17.0,0.0,0.0
2015-01-04,Hard,Dimitrov G.,Klizan M.,11.0,34.0,6-3 6-4,3,7.0,2.0,57.0,34.0,26.0,12.0,1.0,3.0,3.0,1.0,53.0,37.0,24.0,5.0,1.0,5.0
2015-01-04,Hard,Federer R.,Duckworth J.,2.0,125.0,6-0 6-1,3,12.0,2.0,30.0,21.0,19.0,6.0,0.0,0.0,0.0,1.0,38.0,25.0,8.0,4.0,2.0,8.0
2015-01-04,Hard,Tomic B.,Kokkinakis T.,53.0,149.0,7-6(2) 6-1,3,8.0,1.0,72.0,51.0,38.0,12.0,0.0,0.0,7.0,3.0,61.0,32.0,23.0,14.0,3.0,5.0
2015-01-04,Hard,Raonic M.,Kukushkin M.,8.0,69.0,6-3 6-4,3,17.0,4.0,48.0,31.0,28.0,12.0,0.0,0.0,1.0,1.0,54.0,32.0,22.0,12.0,2.0,4.0
2015-01-04,Hard,Groth S.,Kubot L.,85.0,177.0,6-4 6-7(2) 7-6(3),3,21.0,2.0,111.0,80.0,62.0,19.0,2.0,2.0,14.0,5.0,112.0,75.0,58.0,22.0,6.0,7.0
2015-01-04,Hard,Klizan M.,Dolgopolov A.,34.0,23.0,1-6 7-6(6) 7-6(7),3,4.0,5.0,116.0,73.0,46.0,18.0,5.0,10.0,16.0,2.0,103.0,68.0,51.0,19.0,1.0,4.0
2015-01-04,Hard,Dimitrov G.,Chardy J.,11.0,31.0,3-6 6-4 7-6(8),3,10.0,3.0,107.0,64.0,46.0,23.0,5.0,7.0,9.0,6.0,126.0,78.0,60.0,20.0,12.0,13.0
2015-01-04,Hard,Nishikori K.,Johnson S.,5.0,37.0,6-4 7-5,3,7.0,1.0,67.0,45.0,34.0,16.0,2.0,2.0,6.0,1.0,61.0,33.0,24.0,17.0,1.0,3.0
2015-01-04,Hard,Federer R.,Millman J.,2.0,153.0,4-6 6-4 6-3,3,8.0,3.0,85.0,50.0,37.0,19.0,9.0,11.0,2.0,2.0,112.0,72.0,44.0,20.0,9.0,13.0
2015-01-04,Hard,Duckworth J.,Nieminen J.,125.0,73.0,4-6 7-6(5) 6-3,3,16.0,3.0,114.0,66.0,51.0,24.0,7.0,9.0,5.0,0.0,92.0,60.0,45.0,19.0,4.0,6.0
2015-01-04,Hard,Tomic B.,Querrey S.,53.0,35.0,7-5 7-6(5),3,5.0,0.0,77.0,46.0,36.0,21.0,4.0,5.0,20.0,3.0,70.0,42.0,35.0,14.0,4.0,6.0
